alloy,temperature,processing,method,status,pred_ys,actual_ys,pred_uts,actual_uts,pred_el,actual_el,pred_em,actual_em,pred_density,pred_gamma_prime,confidence_level,tcp_risk,corrections_applied
NIMONIC* PE16,427.0,wrought,ML_ONLY,SUCCESS,911.0420911599169,,1232.5175787815174,,16.99577499034281,,169.4021456496164,173.0,7.39,61.5,MEDIUM,UNKNOWN,0
NIMONIC* PE16,538.0,wrought,ML_ONLY,SUCCESS,893.9838636208547,485.0,1217.9067999729236,740.0,16.744130917209826,26.0,158.5491510858858,165.0,7.39,61.5,MEDIUM,UNKNOWN,0
NIMONIC* PE16,649.0,wrought,ML_ONLY,SUCCESS,892.9713605983118,485.0,1185.3389196691933,660.0,16.225989231882256,30.0,152.84207480293645,157.0,7.39,61.5,MEDIUM,UNKNOWN,0
NIMONIC* PE16,760.0,wrought,ML_ONLY,SUCCESS,854.7491346606748,370.0,1070.38842897336,510.0,17.38070540050135,42.0,148.82214238773372,147.0,7.39,61.5,MEDIUM,UNKNOWN,0
NIMONIC* PE16,871.0,wrought,ML_ONLY,SUCCESS,582.8293816372297,140.0,751.8371813796082,215.0,19.302483476519868,80.0,138.71280047980554,137.0,7.39,61.5,MEDIUM,UNKNOWN,0
NIMONIC* PE16,982.0,wrought,ML_ONLY,SUCCESS,360.37018589856496,50.0,500.3093784270924,90.0,24.454696637904533,,130.93327601445714,124.0,7.39,61.5,MEDIUM,UNKNOWN,0
AF2-1DA,20.0,cast,ML_ONLY,SUCCESS,1034.1945799685168,1000.0,1177.5176365742204,1600.0,11.059248289134302,7.0,179.13830811518787,,8.08,63.4,MEDIUM,UNKNOWN,0
Alloy 263 (C263),20.0,wrought,ML_ONLY,SUCCESS,522.0280866647593,580.0,880.0563357375304,1000.0,36.591258109102014,35.0,213.47436922074328,,8.3,1.9,MEDIUM,UNKNOWN,0
CM 247 LC,20.0,cast,ML_ONLY,SUCCESS,865.5181915743269,850.0,1012.5950869906442,1000.0,10.207238815160178,4.5,144.76270950559962,,8.2,54.1,MEDIUM,UNKNOWN,0
GTD-111,20.0,cast,ML_ONLY,SUCCESS,1023.7754650519639,980.0,1151.871317295684,1130.0,8.193486466935383,8.0,200.0598324859033,,7.96,61.7,MEDIUM,UNKNOWN,0
GTD-262,20.0,cast,ML_ONLY,SUCCESS,870.7129168361888,650.0,1089.8328130146447,900.0,15.815441801760242,8.0,206.75659641388296,,8.08,20.4,MEDIUM,UNKNOWN,0
GTD-444,20.0,cast,ML_ONLY,SUCCESS,990.083321143861,860.0,1136.7010534600581,1080.0,11.316112202874635,9.0,149.22658538417807,,8.21,76.7,MEDIUM,UNKNOWN,0
Haynes 233,20.0,wrought,ML_ONLY,SUCCESS,1007.5300950804926,778.0,1256.8589027836529,1187.0,17.20420732307364,27.0,200.58747258124401,,8.21,28.9,MEDIUM,UNKNOWN,0
Haynes 282,20.0,wrought,ML_ONLY,SUCCESS,674.1439635471481,760.0,1044.6174060183555,1150.0,24.337629326714566,27.0,209.39313136371732,,8.13,14.5,MEDIUM,UNKNOWN,0
Inconel 718Plus,20.0,wrought,ML_ONLY,SUCCESS,967.9058099163053,1170.0,1222.5726545628418,1480.0,17.108919289157058,20.0,202.28554165750742,,8.17,27.5,MEDIUM,UNKNOWN,0
Inconel X-750,20.0,wrought,ML_ONLY,SUCCESS,741.5312841818854,860.0,1070.234261595404,1240.0,22.58557040004385,20.0,199.4009032915747,,8.18,18.5,MEDIUM,UNKNOWN,0
MAR-M 002,20.0,cast,ML_ONLY,SUCCESS,896.8729434249876,825.0,1049.9717752634247,1035.0,7.8243138797661524,7.0,159.7792175160208,,8.22,57.9,MEDIUM,UNKNOWN,0
MERL 76,20.0,wrought,ML_ONLY,SUCCESS,872.72641203487,1030.0,1225.5094964921936,1550.0,14.828284229585542,25.0,211.7931147596109,,7.71,54.9,MEDIUM,UNKNOWN,0
Rene 100,20.0,cast,ML_ONLY,SUCCESS,869.1455523858903,1000.0,1105.8564814883885,1300.0,10.163648587693558,10.0,199.85430738406512,,7.4,72.9,MEDIUM,UNKNOWN,0
Rene 108,20.0,cast,ML_ONLY,SUCCESS,851.5051395298461,1000.0,1014.5230107386255,1200.0,10.15258825361785,11.0,142.99935106264775,,8.29,54.7,MEDIUM,UNKNOWN,0
Rene 95,20.0,wrought,ML_ONLY,SUCCESS,1123.5174297977223,1240.0,1343.4261298649265,1620.0,14.938558438656989,12.0,206.92759424090752,,7.96,52.7,MEDIUM,UNKNOWN,0
RR1000,20.0,wrought,ML_ONLY,SUCCESS,886.684759011204,1100.0,1244.031368709418,1400.0,15.615796560017518,15.0,211.38717539077942,,7.92,45.3,MEDIUM,UNKNOWN,0
Udimet 720,20.0,wrought,ML_ONLY,SUCCESS,846.7154325594298,1100.0,1231.2937099299863,1500.0,15.401107198433273,15.0,214.57980766281293,,7.82,48.4,MEDIUM,UNKNOWN,0
ATI Allegheny Ludlum Altemp® X-750 Nickel-Based superalloy,20.0,wrought,ML_ONLY,SUCCESS,723.9498772605045,,1041.8506711752618,,21.797870144360225,,198.98669611221675,214.0,8.05,18.3,MEDIUM,UNKNOWN,0
Haynes 214® alloy,20.0,wrought,ML_ONLY,SUCCESS,656.321407093495,605.0,936.5160218864157,995.0,29.06057347231789,37.3,196.11437478130193,218.0,7.7,26.9,MEDIUM,UNKNOWN,0
Haynes 214® alloy,100.0,wrought,ML_ONLY,SUCCESS,653.5361592907607,,936.2088929801657,,28.87848462038918,,194.79828438934246,210.0,7.7,26.9,MEDIUM,UNKNOWN,0
Haynes 214® alloy,200.0,wrought,ML_ONLY,SUCCESS,653.5361592907607,,935.5269612899734,,28.801616655924583,,193.07493433327235,204.0,7.7,26.9,MEDIUM,UNKNOWN,0
Haynes 214® alloy,300.0,wrought,ML_ONLY,SUCCESS,653.3358086947633,,932.4586795296393,,28.837325441517265,,187.56758713862553,199.0,7.7,26.9,MEDIUM,UNKNOWN,0
